area_code,uk_region,country,country_string
AB,Scotland,SCT,Scotland
AL,East of England,ENG,England
B,West Midlands,ENG,England
BA,South West England,ENG,England
BB,North West England,ENG,England
BD,Yorkshire and the Humber,ENG,England
BH,South West England,ENG,England
BH,South East England,ENG,England
BL,North West England,ENG,England
BN,South East England,ENG,England
BR,London,ENG,England
BR,South East England,ENG,England
BS,South West England,ENG,England
BT,Northern Ireland,NIR,Northern Ireland
CA,North West England,ENG,England
CB,East of England,ENG,England
CF,Wales,WLS,Wales
CH,North West England,ENG,England
CH,Wales,ENG,England
CM,East of England,ENG,England
CO,East of England,ENG,England
CR,London,ENG,England
CR,South East England,ENG,England
CT,South East England,ENG,England
CV,West Midlands,ENG,England
CV,East Midlands,ENG,England
CW,North West England,ENG,England
DA,South East England,ENG,England
DA,London,ENG,England
DD,Scotland,SCT,Scotland
DE,East Midlands,ENG,England
DE,West Midlands,ENG,England
DG,Scotland,SCT,Scotland
DH,North East England,ENG,England
DL,North East England,ENG,England
DL,Yorkshire and the Humber,ENG,England
DN,Yorkshire and the Humber,ENG,England
DN,East Midlands,ENG,England
DT,South West England,ENG,England
DY,West Midlands,ENG,England
E,London,ENG,England
EW,London,ENG,England
EC,London,ENG,England
ECA,London,ENG,England
ECM,London,ENG,England
ECN,London,ENG,England
ECR,London,ENG,England
ECV,London,ENG,England
ECY,London,ENG,England
ECP,London,ENG,England
EH,Scotland,SCT,Scotland
EN,London,ENG,England
EN,East of England,ENG,England
EX,South West England,ENG,England
FK,Scotland,SCT,Scotland
FY,North West England,ENG,England
G,Scotland,SCT,Scotland
GL,South West England,ENG,England
GU,South East England,ENG,England
GY,Crown Dependencies,GG,Guernsey
HA,London,ENG,England
HD,Yorkshire and the Humber,ENG,England
HG,Yorkshire and the Humber,ENG,England
HP,East of England,ENG,England
HP,South East England,ENG,England
HR,West Midlands,ENG,England
HS,Scotland,SCT,Scotland
HU,Yorkshire and the Humber,ENG,England
HX,Yorkshire and the Humber,ENG,England
IG,London,ENG,England
IG,East of England,ENG,England
IM,Crown Dependencies,IM,Isle of Man
IP,East of England,ENG,England
IV,Scotland,SCT,Scotland
JE,Crown Dependencies,JE,Jersey
KA,Scotland,SCT,Scotland
KT,London,ENG,England
KT,South East England,ENG,England
KW,Scotland,SCT,Scotland
KY,Scotland,SCT,Scotland
L,North West England,ENG,England
LA,North West England,ENG,England
LD,Wales,WLS,Wales
LE,East Midlands,ENG,England
LL,Wales,WLS,Wales
LN,Yorkshire and the Humber,ENG,England
LS,Yorkshire and the Humber,ENG,England
LU,East of England,ENG,England
M,North West England,ENG,England
ME,South East England,ENG,England
MK,South East England,ENG,England
MK,East Midlands,ENG,England
MK,East of England,ENG,England
ML,Scotland,SCT,Scotland
N,London,ENG,England
NC,London,ENG,England
NE,North East England,ENG,England
NG,East Midlands,ENG,England
NG,Yorkshire and the Humber,ENG,England
NN,East Midlands,ENG,England
NP,Wales,WLS,Wales
NR,East of England,ENG,England
NW,London,ENG,England
OL,North West England,ENG,England
OL,Yorkshire and the Humber,ENG,England
OX,South East England,ENG,England
OX,East Midlands,ENG,England
PA,Scotland,SCT,Scotland
PE,East of England,ENG,England
PE,Yorkshire and the Humber,ENG,England
PE,East Midlands,ENG,England
PH,Scotland,SCT,Scotland
PL,South West England,ENG,England
PO,South East England,ENG,England
PR,North West England,ENG,England
RG,South East England,ENG,England
RH,South East England,ENG,England
RM,London,ENG,England
RM,East of England,ENG,England
S,Yorkshire and the Humber,ENG,England
S,East Midlands,ENG,England
SA,Wales,WLS,Wales
SE,London,ENG,England
SG,East of England,ENG,England
SK,North West England,ENG,England
SK,East Midlands,ENG,England
SL,South East England,ENG,England
SM,London,ENG,England
SM,South East England,ENG,England
SN,South West England,ENG,England
SN,South East England,ENG,England
SO,South East England,ENG,England
SP,South West England,ENG,England
SP,South East England,ENG,England
SR,North East England,ENG,England
SS,East of England,ENG,England
ST,West Midlands,ENG,England
SW,London,ENG,England
SWA,London,ENG,England
SWE,London,ENG,England
SWH,London,ENG,England
SWP,London,ENG,England
SWV,London,ENG,England
SWW,London,ENG,England
SWX,London,ENG,England
SWY,London,ENG,England
SY,West Midlands,ENG,England
SY,North West England,ENG,England
SY,Wales,WLS,Wales
TA,South West England,ENG,England
TD,Scotland,SCT,Scotland
TD,North East England,SCT,Scotland
TF,West Midlands,ENG,England
TN,South East England,ENG,England
TN,London,ENG,England
TQ,South West England,ENG,England
TR,South West England,ENG,England
TS,North East England,ENG,England
TS,Yorkshire and the Humber,ENG,England
TW,London,ENG,England
TW,South East England,ENG,England
UB,London,ENG,England
UB,South East England,ENG,England
W,London,ENG,England
WB,London,ENG,England
WC,London,ENG,England
WD,London,ENG,England
WF,London,ENG,England
WG,London,ENG,England
WH,London,ENG,England
WJ,London,ENG,England
WK,London,ENG,England
WM,London,ENG,England
WS,London,ENG,England
WT,London,ENG,England
WU,London,ENG,England
WW,London,ENG,England
WA,North West England,ENG,England
WCA,London,ENG,England
WCB,London,ENG,England
WCE,London,ENG,England
WCH,London,ENG,England
WCN,London,ENG,England
WCR,London,ENG,England
WCV,London,ENG,England
WCX,London,ENG,England
WD,East of England,ENG,England
WF,Yorkshire and the Humber,ENG,England
WN,North West England,ENG,England
WR,West Midlands,ENG,England
WS,West Midlands,ENG,England
WV,West Midlands,ENG,England
YO,Yorkshire and the Humber,ENG,England
ZE,Scotland,SCT,Scotland
